date range,SPY last of current block,SPY moving avg of next block
2018-03-05:2018-03-09,267.01568603515625,265.52097837386594
2018-03-12:2018-03-16,263.595703125,259.32706476026965
2018-03-19:2018-03-23,248.07025146484372,252.9010757938508
2018-03-26:2018-03-30,252.9730224609375,249.66325279974168
2018-04-02:2018-04-06,249.67564392089844,252.7125037408644
2018-04-09:2018-04-13,254.8956298828125,258.15488163117436
2018-04-16:2018-04-20,256.2991943359375,254.98900579637098
2018-04-23:2018-04-27,256.25115966796875,254.1641387939453
2018-04-30:2018-05-04,255.7319793701172,257.4174558577999
2018-05-07:2018-05-11,262.29788208007807,261.7533520114037
2018-05-14:2018-05-18,260.83663940429693,262.5347624747984
2018-05-21:2018-05-25,261.6249389648437,260.87541149508564
2018-05-28:2018-06-01,263.01885986328125,264.8835350774949
2018-06-04:2018-06-08,267.431396484375,267.81540507654984
2018-06-11:2018-06-15,267.60867309570307,266.51934420677924
2018-06-18:2018-06-22,265.30078125,261.63504323651716
2018-06-25:2018-06-29,261.95965576171875,262.34961232831404
2018-07-02:2018-07-06,265.95736694335943,268.61601897208914
2018-07-09:2018-07-13,269.98410034179693,270.29031568957913
2018-07-16:2018-07-20,270.07101440429693,271.63289125504025
2018-07-23:2018-07-27,271.75128173828125,271.0547564106603
2018-07-30:2018-08-03,273.8563232421875,275.1777137018019
2018-08-06:2018-08-10,273.43148803710943,273.03088674237654
2018-08-13:2018-08-17,275.26614379882807,276.14928706999746
2018-08-20:2018-08-24,277.63198852539057,280.11963185956404
2018-08-27:2018-08-31,280.33578491210943,279.83335335023946
2018-09-03:2018-09-07,277.71896362304693,278.8222282163558
2018-09-10:2018-09-14,280.88623046875,280.4125041346396
2018-09-17:2018-09-21,283.2344665527344,282.05323643838204
2018-09-24:2018-09-28,282.00250244140625,282.67281513829386
2018-10-01:2018-10-05,279.18948364257807,276.54198529643395
2018-10-08:2018-10-12,267.67544555664057,268.61415543094756
2018-10-15:2018-10-19,267.9664306640625,264.5888878606981
2018-10-22:2018-10-26,257.37387084960943,258.6292724609375
2018-10-29:2018-11-02,263.7372436523437,267.1607242707284
2018-11-05:2018-11-09,269.43118286132807,264.0369390672253
2018-11-12:2018-11-16,265.52200317382807,258.8351716072329
2018-11-19:2018-11-23,255.35626220703125,261.2508023169733
2018-11-26:2018-11-30,267.38442993164057,266.44258265341483
2018-12-03:2018-12-07,255.66665649414062,256.3093857303743
2018-12-10:2018-12-14,252.6596221923828,246.19230897964974
2018-12-17:2018-12-21,234.84588623046875,231.41747406990294
